zone,visits,first_visit,last_visit,duration,visit_rate
Checkout_Counter,16489,0.0,138.4,138.4,119.14017341040461
Cosmetics_Section,21410,0.0,125.79233333333332,125.79233333333332,170.2011516335124
Entrance,24852,0.1668333333333333,139.80633333333333,139.6395,177.97256506933925
Fragrance_Section,1920,0.0,145.8,145.8,13.16872427983539
Skincare_Section,6624,0.0,147.98116666666667,147.98116666666667,44.76245287970203
